# radius         dens           pres           temp        c12          ne20          ne22
4670
2.041437062437354e+07  3.638145401235462e+09  2.712509196494616e+27  7.143823243209962e+08  1.419670690613878e-01  2.872735951017273e-01  0.000000000000000e+00
2.058003893540433e+07  3.625024614963915e+09  2.699419193670438e+27  7.130767972709618e+08  1.419675075387841e-01  2.872729962439441e-01  0.000000000000000e+00
2.066211482883960e+07  3.614707648288671e+09  2.689137604376112e+27  7.120481773402001e+08  1.419678510614044e-01  2.872725273084700e-01  0.000000000000000e+00
2.074369775405812e+07  3.607859239464556e+09  2.682318135209765e+27  7.113648146006615e+08  1.419680786224582e-01  2.872722167478368e-01  0.000000000000000e+00
2.090711989752571e+07  3.597558262989888e+09  2.672068906381793e+27  7.103361676460071e+08  1.419684202056323e-01  2.872717506943990e-01  0.000000000000000e+00
2.106863498635254e+07  3.583898950148479e+09  2.658493434564244e+27  7.089692999545767e+08  1.419688715225944e-01  2.872711352336948e-01  0.000000000000000e+00
2.122830974222482e+07  3.570357554442303e+09  2.645052355728265e+27  7.076116790525364e+08  1.419693172868587e-01  2.872705276536550e-01  2.442490654175344e-15
2.130747658341932e+07  3.560289267409861e+09  2.635069779938970e+27  7.066003198182011e+08  1.419696475659277e-01  2.872700777091169e-01  0.000000000000000e+00
2.138620676298311e+07  3.553604171526381e+09  2.628446857572147e+27  7.059282639531450e+08  1.419698664329727e-01  2.872697796186005e-01  0.000000000000000e+00
2.154624449579293e+07  3.543451210550184e+09  2.618396372737576e+27  7.049067558008841e+08  1.419701981866270e-01  2.872693278944006e-01  0.000000000000000e+00
2.170453956393076e+07  3.529920604746221e+09  2.605017424460763e+27  7.035425641734722e+08  1.419706387814733e-01  2.872687282810171e-01  2.442490654175344e-15
2.186114986897968e+07  3.516501780829154e+09  2.591766101607657e+27  7.021871476242793e+08  1.419710741821976e-01  2.872681360444068e-01  2.442490654175344e-15
2.201613037787798e+07  3.503192012850426e+09  2.578639340890165e+27  7.008402180194522e+08  1.419715045339236e-01  2.872675509799078e-01  0.000000000000000e+00
2.207986183598875e+07  3.493857545713687e+09  2.569443256534965e+27  6.998935671736156e+08  1.419718053689366e-01  2.872671422065998e-01  0.000000000000000e+00
2.214332622807096e+07  3.488406372158268e+09  2.564076743942229e+27  6.993404665041946e+08  1.419719807710495e-01  2.872669039223897e-01  0.000000000000000e+00
